Iteration,KMC Time,Bucket,monCount_A,monCount_B,seqCount_A,seqCount_B,seqLengths2_A,seqLengths2_B
9,900.001435,14,147202,22213,11809,11724,4060045,60920
9,900.001435,15,149658,24107,12622,12582,3807013,67390
9,900.001435,16,146249,25581,13023,12919,3527041,74965
9,900.001435,17,143583,27208,13431,13271,3227628,79696
9,900.001435,18,142842,29501,14141,14056,3063462,93079
9,900.001435,19,139188,30950,14343,14205,2902644,101535
9,900.001435,20,138868,33908,15232,15083,2679856,113183
9,900.001435,21,135390,36375,15707,15507,2458069,128022
9,900.001435,22,131702,40113,16551,16370,2250582,149995
9,900.001435,23,127282,43478,17244,16968,2037913,170053
9,900.001435,24,124233,47531,17856,17637,1751763,197656
9,900.001435,25,120188,51885,18416,18293,1641646,232456
9,900.001435,26,114463,57028,19031,18665,1422259,269487
9,900.001435,27,109230,62505,19660,19272,1286262,320055
9,900.001435,28,104319,67506,20071,19797,1089473,381665
9,900.001435,29,101740,64986,26791,22081,1221945,477125
10,1000.002367,0,164388,11809,7583,7374,527306,20845
10,1000.002367,1,168672,12568,8383,8355,2536049,25110
10,1000.002367,2,167793,13338,8673,8664,4471265,27298
10,1000.002367,3,167271,14277,9029,8942,5485403,30098
10,1000.002367,4,166261,14616,9114,9159,5848693,32081
10,1000.002367,5,165963,15253,9464,9415,6115628,34150
10,1000.002367,6,166169,15987,9832,9745,6085008,35054
10,1000.002367,7,164394,16827,10220,10200,5803642,38566
10,1000.002367,8,163711,17480,10373,10311,5665588,41062
10,1000.002367,9,161886,18290,10640,10604,5259776,43994
10,1000.002367,10,162934,19910,11362,11241,4961821,49572
10,1000.002367,11,159614,20921,11677,11648,4766296,53151
10,1000.002367,12,160254,21973,12117,12091,4537231,57479
10,1000.002367,13,157898,23265,12481,12342,4272194,62575
10,1000.002367,14,154498,24724,12971,12853,3976235,68673
10,1000.002367,15,156434,27149,13819,13705,3830871,77899
10,1000.002367,16,152750,28721,14281,14190,3416422,85381
10,1000.002367,17,149607,30981,14759,14676,3232672,98487
10,1000.002367,18,149123,33051,15378,15250,3034077,107203
10,1000.002367,19,144134,35682,16003,15777,2792167,119886
10,1000.002367,20,143123,39418,16843,16628,2592360,140452
10,1000.002367,21,138431,43115,17622,17444,2298548,161641
10,1000.002367,22,134159,47370,18507,18232,2103077,189378
10,1000.002367,23,129106,51411,19018,18763,1810309,219449
10,1000.002367,24,124655,56883,19650,19399,1620573,263333
10,1000.002367,25,118690,63196,20491,20121,1435452,307526
10,1000.002367,26,112507,68686,20948,20706,1255286,372838
10,1000.002367,27,106318,75168,21446,21025,1063303,428412
10,1000.002367,28,98551,82997,21619,21149,907219,516193
10,1000.002367,29,96012,80534,28106,24256,939549,718746
11,1100.003022,0,172933,12437,8008,7781,605258,22004
11,1100.003022,1,177090,13288,8850,8818,2852622,26538
11,1100.003022,2,176313,14072,9109,9086,4859884,28950
11,1100.003022,3,175482,15225,9584,9509,5884266,32567
11,1100.003022,4,174603,15453,9652,9619,6229915,33625
11,1100.003022,5,174149,16221,9990,9987,6414508,36393
11,1100.003022,6,174433,17016,10450,10428,6305424,38403
11,1100.003022,7,172498,17804,10731,10656,5955070,40601
11,1100.003022,8,171483,18886,11180,11083,5891792,44386
11,1100.003022,9,169567,19881,11408,11388,5269907,49287
11,1100.003022,10,170369,21637,12241,12127,5272686,54124
11,1100.003022,11,167124,22588,12446,12389,4797784,58252
11,1100.003022,12,167688,23707,12970,12948,4543853,62765
11,1100.003022,13,164501,25905,13573,13453,4337471,72364
11,1100.003022,14,161154,27148,14016,13958,3995074,76281
11,1100.003022,15,162560,30172,14997,14847,3665414,89891
11,1100.003022,16,158383,32340,15495,15396,3491931,100523
11,1100.003022,17,155424,34276,16049,15815,3261380,111830
11,1100.003022,18,153634,37773,16893,16748,2870472,127161
11,1100.003022,19,148240,40839,17442,17334,2751454,147500
11,1100.003022,20,146007,45673,18712,18417,2414601,170442
11,1100.003022,21,141035,49712,19314,19081,2150436,198940
11,1100.003022,22,135107,55512,20230,19949,1886680,239896
11,1100.003022,23,129388,60366,20814,20482,1669982,281281
11,1100.003022,24,122531,68185,21626,21261,1448500,342614
11,1100.003022,25,116583,74505,22207,21751,1255151,407402
11,1100.003022,26,109094,81235,22513,22136,1060096,476052
11,1100.003022,27,100067,90696,22893,22453,883636,599118
11,1100.003022,28,91520,99175,22949,22611,717469,714249
11,1100.003022,29,88374,97321,28801,25787,715914,997591
12,1200.003118,0,181233,13034,8404,8174,688981,23131
12,1200.003118,1,185203,13948,9298,9276,3159048,27979
12,1200.003118,2,184285,14909,9616,9558,5259066,30824
12,1200.003118,3,183654,15969,10016,9982,6284137,34354
12,1200.003118,4,182458,16362,10173,10109,6620161,35952
12,1200.003118,5,182258,17019,10519,10544,6575177,37747
12,1200.003118,6,182062,18148,11113,11008,6536469,40970
12,1200.003118,7,180371,18872,11275,11288,6323610,44183
12,1200.003118,8,178857,20324,11851,11800,5831901,48878
12,1200.003118,9,176885,21374,12186,12077,5256324,52753
12,1200.003118,10,177498,23355,12997,12942,5403472,59534
12,1200.003118,11,174540,24082,13332,13234,4939038,61990
12,1200.003118,12,174065,26152,13879,13879,4635443,72657
12,1200.003118,13,170888,28323,14727,14500,4347298,78500
12,1200.003118,14,167240,29951,15091,15000,3938616,87942
12,1200.003118,15,168288,33296,16096,16025,3622374,103008
12,1200.003118,16,164159,35376,16777,16550,3567774,113296
12,1200.003118,17,159842,38735,17400,17274,3082292,130212
12,1200.003118,18,157565,42697,18343,18144,2822162,152092
12,1200.003118,19,151001,46842,19288,19016,2596551,174016
12,1200.003118,20,148411,52172,20374,20059,2274041,209692
12,1200.003118,21,141589,57954,21075,20888,1974365,250190
12,1200.003118,22,135211,64356,21915,21482,1737499,301344
12,1200.003118,23,127571,70999,22477,22202,1504208,358911
12,1200.003118,24,120450,79113,23208,22810,1257291,448070
12,1200.003118,25,112377,87473,23812,23306,1086390,522420
12,1200.003118,26,102668,96593,23893,23471,891501,643835
12,1200.003118,27,92963,106593,23964,23423,705661,785638
12,1200.003118,28,82092,117383,23609,23109,558726,952975
12,1200.003118,29,79832,114802,28687,26730,541236,1438537
13,1300.003307,0,189104,13640,8797,8575,769831,24426
13,1300.003307,1,193222,14612,9720,9680,3455360,29329
13,1300.003307,2,192225,15624,10070,10034,5639149,32409
13,1300.003307,3,191387,16786,10492,10467,6629037,36469
13,1300.003307,4,190217,17205,10655,10635,6879814,37779
13,1300.003307,5,189862,17948,11121,10981,6905173,39827
13,1300.003307,6,189671,19169,11639,11694,6683760,43794
13,1300.003307,7,187503,20279,12080,11946,6590410,47202
13,1300.003307,8,186294,21503,12376,12369,5840637,52987
13,1300.003307,9,183646,23173,13140,12979,5675491,57640
13,1300.003307,10,184837,24645,13611,13637,5199178,63886
13,1300.003307,11,181265,25935,14093,13988,5080902,68611
13,1300.003307,12,180062,28658,15040,14848,4656162,78774
13,1300.003307,13,177241,30623,15574,15525,4345109,89890
13,1300.003307,14,172635,33205,16365,16198,3845688,99360
13,1300.003307,15,173898,36196,17209,17089,3720477,115378
13,1300.003307,16,168659,39548,18064,17917,3349664,129726
13,1300.003307,17,163782,43279,18795,18531,2982323,152126
13,1300.003307,18,160721,48138,20040,19819,2805387,177318
13,1300.003307,19,153421,53022,20878,20657,2377479,210635
13,1300.003307,20,148889,60275,22037,21656,2113574,257044
13,1300.003307,21,141511,66637,22879,22506,1845185,309090
13,1300.003307,22,134019,74106,23545,23247,1552204,382158
13,1300.003307,23,124666,82515,24048,23580,1319391,457321
13,1300.003307,24,116680,91481,24684,24295,1125643,560814
13,1300.003307,25,105771,102616,25041,24495,906611,685771
13,1300.003307,26,95230,112592,25040,24507,707562,858742
13,1300.003307,27,84500,123700,24499,23973,567770,1014237
13,1300.003307,28,72871,135306,23538,22970,436479,1274838
13,1300.003307,29,71413,131690,28106,27068,406350,2020275
14,1400.003615,0,197155,14187,9161,8965,849942,25750
